id,spot_dir
AH21I021,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/c756fe4e-8984-46ee-84fa-409b1f9b5405/0_A1
AH21I022,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/aafc62df-7a09-4b49-aed5-18a9ee96981d/0_A2
AH21I028,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/c92b2eb0-572d-42a5-a3e3-3a02a0952059/0_A3
AH21I035,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/702242b9-1b89-437e-9dae-a90be220137d/0_A4
AH21I037,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/e5e317dc-299a-4b28-b56b-95aceb1e7606/0_A5
AH21I040,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/408f5212-746d-4972-8da9-3722236e0354/0_A6
AH21I041,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/1b9da697-0f12-4b6d-ad07-9344bdcc6a82/0_A7
AH21I042,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/e8dc0827-b6fc-4dd4-baef-b475f9ad2462/0_A8
AH21I052,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/b3a8d5e2-a676-4263-a361-58a8cc3d09e6/0_A9
AH21I054,/Volumes/T7/SuperbugAI_isolates/SBAi_MaldiBiotyperRealTimeClassification_Andy_12.04.24/ba29fabd-6378-4af5-aa7e-34dd0beb2576/c032da51-8943-4c06-ad43-79c2ea2f7fa3/0_A10
